Time [s]	Obiwan Ch.  1(Target)[mbar]	Obiwan Ch.  1(Read)[mbar]	Obiwan Ch.  2(Target)[mbar]	Obiwan Ch.  2(Read)[mbar]	Obiwan Ch.  3(Target)[mbar]	Obiwan Ch.  3(Read)[mbar]	Obiwan Ch.  4(Target)[mbar]	Obiwan Ch.  4(Read)[mbar]	Flowie80(Target) [µl/min]	Flowie80(Read)[µl/min]	
7.3790	0.0000	1.0359	25.3117	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8815	
7.4290	0.0000	1.0359	25.2962	25.3556	0.0000	3.1974	0.0000	-890.9572	12.7500	12.9037	
7.4780	0.0000	1.0359	25.2833	25.3556	0.0000	3.1974	0.0000	-890.9572	12.7500	12.8963	
7.5280	0.0000	0.9732	25.2721	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8963	
7.5790	0.0000	1.0987	25.2637	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8741	
7.6280	0.0000	1.0987	25.2535	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8741	
7.6780	0.0000	1.0359	25.2493	25.3556	0.0000	3.2579	0.0000	-888.7319	12.7500	12.8444	
7.7280	0.0000	1.0359	25.2384	25.3556	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8630	
7.7780	0.0000	1.0359	25.2287	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8630	
7.8290	0.0000	1.0359	25.2194	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8630	
7.8780	0.0000	1.0359	25.2114	25.3556	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8556	
7.9280	0.0000	1.0987	25.2002	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8704	
7.9790	0.0000	1.0987	25.1899	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8704	
8.0290	0.0000	1.0359	25.1756	25.2356	0.0000	3.2579	0.0000	-886.5065	12.7500	12.8926	
8.0780	0.0000	1.0359	25.1634	25.2356	0.0000	3.1974	0.0000	-886.5065	12.7500	12.8630	
8.1280	0.0000	1.0359	25.1585	25.2956	0.0000	3.1974	0.0000	-886.5065	12.7500	12.8630	
8.1790	0.0000	1.0987	25.1503	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8556	
8.2280	0.0000	1.0987	25.1413	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8556	
8.2780	0.0000	1.0359	25.1397	25.2356	0.0000	3.1369	0.0000	-888.7319	12.7500	12.8222	
8.3290	0.0000	1.0359	25.1373	25.1755	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8000	
8.3780	0.0000	1.0359	25.1332	25.1755	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8000	
8.4290	0.0000	1.0359	25.1304	25.1755	0.0000	3.1974	0.0000	-890.9572	12.7500	12.7926	
8.4780	0.0000	1.0359	25.1268	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7704	
8.5280	0.0000	1.0359	25.1284	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7704	
8.5780	0.0000	1.0987	25.1321	25.2356	0.0000	3.2579	0.0000	-888.7319	12.7500	12.7407	
8.6290	0.0000	1.0987	25.1329	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.5778	
8.6790	0.0000	1.0987	25.1717	25.1755	0.0000	3.1974	0.0000	-890.9572	12.7500	12.5778	
8.7280	0.0000	1.0359	25.2071	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.4630	
8.7790	0.0000	1.0359	25.2313	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.4630	
8.8280	0.0000	1.0359	25.2554	25.2356	0.0000	3.1974	0.0000	-886.5065	12.7500	12.4630	
8.8780	0.0000	1.0359	25.2790	25.2356	0.0000	3.1974	0.0000	-886.5065	12.7500	12.4630	
8.9290	0.0000	1.0359	25.2649	25.4157	0.0000	3.1369	0.0000	-888.7319	12.7500	12.6963	
8.9780	0.0000	1.0359	25.2694	25.4157	0.0000	3.1369	0.0000	-888.7319	12.7500	12.6963	
9.0290	0.0000	1.0987	25.2509	25.4157	0.0000	3.1369	0.0000	-886.5065	12.7500	12.8111	
9.0790	0.0000	1.0987	25.2340	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8815	
9.1280	0.0000	1.0987	25.2232	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8815	
9.1780	0.0000	1.0359	25.2136	25.3556	0.0000	3.1369	0.0000	-888.7319	12.7500	12.8741	
9.2290	0.0000	1.0359	25.2032	25.3556	0.0000	3.1369	0.0000	-888.7319	12.7500	12.8296	
9.2780	0.0000	1.0359	25.2030	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8296	
9.3290	0.0000	1.0987	25.2072	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7704	
9.3780	0.0000	1.0987	25.2055	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7704	
9.4290	0.0000	1.0987	25.2159	25.2956	0.0000	3.1974	0.0000	-886.5065	12.7500	12.7148	
9.4780	0.0000	1.0359	25.2409	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.5815	
9.5290	0.0000	1.0359	25.2554	25.2356	0.0000	3.1974	0.0000	-888.7319	12.7500	12.5815	
9.5790	0.0000	1.0987	25.3083	25.2956	0.0000	3.1369	0.0000	-888.7319	12.7500	12.3889	
9.6280	0.0000	1.0987	25.3381	25.2956	0.0000	3.1974	0.0000	-890.9572	12.7500	12.3778	
9.6790	0.0000	1.0987	25.3716	25.4157	0.0000	3.1974	0.0000	-890.9572	12.7500	12.3778	
9.7290	0.0000	1.0987	25.3667	25.4157	0.0000	3.1974	0.0000	-886.5065	12.7500	12.5741	
9.7780	0.0000	1.0987	25.3815	25.4157	0.0000	3.1974	0.0000	-886.5065	12.7500	12.5741	
9.8280	0.0000	1.0987	25.3704	25.4757	0.0000	3.1369	0.0000	-888.7319	12.7500	12.6926	
9.8790	0.0000	1.0987	25.3940	25.4757	0.0000	3.2579	0.0000	-890.9572	12.7500	12.5778	
9.9290	0.0000	1.0359	25.4088	25.4757	0.0000	3.2579	0.0000	-890.9572	12.7500	12.5778	
9.9780	0.0000	1.0359	25.4230	25.4757	0.0000	3.2579	0.0000	-890.9572	12.7500	12.5778	
10.0280	0.0000	1.1615	25.3545	25.5358	0.0000	3.1369	0.0000	-888.7319	12.7500	12.9593	
10.0790	0.0000	1.0987	25.3244	25.4157	0.0000	3.1974	0.0000	-886.5065	12.7500	13.0370	
10.1290	0.0000	1.0987	25.2998	25.4157	0.0000	3.1974	0.0000	-886.5065	12.7500	13.0370	
10.1780	0.0000	1.0987	25.2857	25.3556	0.0000	3.1974	0.0000	-890.9572	12.7500	12.9889	
10.2280	0.0000	1.0987	25.2657	25.3556	0.0000	3.1974	0.0000	-886.5065	12.7500	12.9370	
10.2780	0.0000	1.0987	25.2574	25.4157	0.0000	3.1974	0.0000	-886.5065	12.7500	12.9370	
